,city,date,treat,price,rating,omtaler,gæster,soveværelser,shampoo,hot water,hangers,blackout curtains,entertainment,work,family,security,wi-fi,kitchen,refrigerator,attractions nearby,outdoor,parkering and faciliteter,smoking allowed,hair dryer,other,cleaning products,temperature,view,bed linen,gæster,washing machine,host,fitness equipment,dishwasher,fireplace,pool etc.,mailbox,Sights,Safety,Shopping,Location,Climate,Affordability
56,Barcalona,2024-05-24,0,395,4.75,12,,1.0,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
57,Barcalona,2024-05-24,0,313,,,,2.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,
58,Barcalona,2024-05-24,0,421,4.96,25,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,
59,Barcalona,2024-05-24,0,368,4.62,106,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,,1.0,,1.0,,,1.0,,1.0,,,,,,,
60,Barcalona,2024-05-24,0,351,4.68,60,,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
61,Barcalona,2024-05-24,0,219,4.72,128,2.0,1.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,
62,Barcalona,2024-05-24,0,307,4.30,10,,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,
63,Barcalona,2024-05-24,0,378,4.83,6,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,
64,Barcalona,2024-05-24,0,373,4.67,12,,1.0,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,
65,Barcalona,2024-05-24,0,236,5.0,5,,3.0,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
66,Barcalona,2024-05-24,0,429,5.0,7,,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,
67,Barcalona,2024-05-24,0,351,4.91,11,,1.0,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
68,Barcalona,2024-05-24,0,373,4.39,198,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,
69,Barcalona,2024-05-24,0,262,3.86,7,,5.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
70,Barcalona,2024-05-24,0,448,4.70,10,,1.0,,,,,,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,
71,Barcalona,2024-05-24,0,335,5.0,3,,1.0,,,,,,1.0,,,1.0,1.0,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,
72,Barcalona,2024-05-24,0,263,,,,6.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
73,Barcalona,2024-05-24,0,474,,,,3.0,,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,
74,Barcalona,2024-05-24,0,320,4.29,7,,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
75,Barcalona,2024-05-24,0,380,5.0,4,,4.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
76,Barcalona,2024-05-24,0,394,5.0,3,,3.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,
77,Barcalona,2024-05-24,0,350,,,,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,,,,,,,
78,Barcalona,2024-05-24,0,380,4.64,11,,6.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
79,Barcalona,2024-05-24,0,394,4.52,31,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
80,Barcalona,2024-05-24,0,313,4.50,6,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
81,Barcalona,2024-05-24,0,358,,,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
82,Barcalona,2024-05-24,0,380,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,,,,
83,Barcalona,2024-05-24,0,358,4.80,5,,4.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
84,Barcalona,2024-05-24,0,412,4.57,14,,5.0,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,
85,Barcalona,2024-05-24,0,350,,,,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,
86,Barcalona,2024-05-24,0,320,,,2.0,1.0,,,,,,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,2.0,1.0,,,,,,,,,,,,
87,Barcalona,2024-05-24,0,373,4.51,57,,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
88,Barcalona,2024-05-24,0,263,,,,1.0,,,,,,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,
89,Barcalona,2024-05-24,0,402,,,,1.0,1.0,1.0,,,,1.0,,,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,
90,Barcalona,2024-05-24,0,184,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,
91,Barcalona,2024-05-24,0,307,4.10,50,,4.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
92,Barcalona,2024-05-24,0,246,4.95,20,,1.0,,1.0,,,,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
93,Barcalona,2024-05-24,0,358,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Barcalona,2024-05-24,0,351,4.21,29,,4.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
95,Barcalona,2024-05-24,0,351,4.50,12,1.0,1.0,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,
96,Barcalona,2024-05-24,0,350,4.17,6,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,
97,Barcalona,2024-05-24,0,412,5.0,5,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,,
98,Barcalona,2024-05-24,0,307,,,,2.0,,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,
99,Barcalona,2024-05-24,0,351,4.25,4,,1.0,,1.0,,,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,
100,Barcalona,2024-05-24,0,425,4.75,4,1.0,1.0,,1.0,,,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,
101,Barcalona,2024-05-24,0,351,4.75,12,,1.0,,,,,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,
102,Barcalona,2024-05-24,0,412,3.75,5,,3.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
103,Barcalona,2024-05-24,0,254,3.83,6,,5.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
104,Barcalona,2024-05-24,0,380,,,,4.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,
105,Barcalona,2024-05-24,0,350,,,,4.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,
106,Barcalona,2024-05-24,0,350,4.80,5,,1.0,1.0,1.0,,,,1.0,,,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,
107,Barcalona,2024-05-24,0,350,5.0,3,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,
108,Barcalona,2024-05-24,0,289,4.36,14,,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,
109,Barcalona,2024-05-24,0,377,4.87,15,,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,1.0,,1.0,,,,,,,
110,Barcalona,2024-05-24,0,256,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,
111,Barcalona,2024-05-24,0,219,4.86,51,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,
112,Barcalona,2024-05-24,0,368,4.52,21,,3.0,,,,,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,
113,Barcalona,2024-05-24,0,351,,,,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,
114,Barcalona,2024-05-24,0,476,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,
115,Barcalona,2024-05-24,0,119,,,,1.0,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,
116,Barcalona,2024-05-24,0,351,,,,4.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,
117,Barcalona,2024-05-24,0,263,4.50,4,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,
118,Barcalona,2024-05-24,0,289,4.20,5,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,
119,Barcalona,2024-05-24,0,342,,,,1.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,
120,Barcalona,2024-05-24,0,263,5.0,8,,2.0,,,,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
121,Barcalona,2024-05-24,0,325,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,
122,Barcalona,2024-05-24,0,359,4.29,18,,1.0,,,,,1.0,,,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,
123,Barcalona,2024-05-24,0,351,,,,1.0,,1.0,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
124,Barcalona,2024-05-24,0,272,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,1.0,,1.0,2.0,1.0,,,,,,,,,,,,
125,Barcalona,2024-05-24,0,333,4.29,7,,1.0,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Barcalona,2024-05-24,0,605,4.89,296,,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,
127,Barcalona,2024-05-24,0,500,4.48,46,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,
128,Barcalona,2024-05-24,0,637,4.76,46,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,
129,Barcalona,2024-05-24,0,559,4.73,48,,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,
130,Barcalona,2024-05-24,0,570,4.95,501,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,,,1.0,,,,,1.0,,,,,,
131,Barcalona,2024-05-24,0,658,4.99,71,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
132,Barcalona,2024-05-24,0,605,4.61,270,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,
133,Barcalona,2024-05-24,0,492,4.91,91,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
134,Barcalona,2024-05-24,0,482,4.58,441,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,
135,Barcalona,2024-05-24,0,447,4.77,77,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,
136,Barcalona,2024-05-24,0,500,4.37,65,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,
