,city,date,treat,price,rating,omtaler,gæster,soveværelser,entertainment,security,work,wi-fi,kitchen,outdoor,bathroom,shampoo,washing machine,refrigerator,hot water,bed linen,family,parkering and faciliteter,hair dryer,hangers,smoking allowed,other,cleaning products,host,mailbox,view,dishwasher,blackout curtains,temperature,attractions nearby,fireplace,fitness equipment,pool etc.,Sights,Safety,Shopping,Location,Climate,Affordability
41,Copenhagen,2024-05-17,0,588,4.56,10,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,1.0,,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
42,Copenhagen,2024-05-17,0,365,4.90,60,2.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
43,Copenhagen,2024-05-17,0,477,4.53,192,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,,,,1.0,,,,,,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
44,Copenhagen,2024-05-17,0,530,4.69,108,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
45,Copenhagen,2024-05-17,0,616,4.0,5,,2.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
46,Copenhagen,2024-05-17,0,471,4.74,186,,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
47,Copenhagen,2024-05-17,0,647,4.85,13,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
48,Copenhagen,2024-05-17,0,471,4.75,4,,1.0,,,1.0,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
49,Copenhagen,2024-05-17,0,592,5.0,7,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,6.8,9.0,5.25,8.25,5.0,1.25
50,Copenhagen,2024-05-17,0,706,4.82,11,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
51,Copenhagen,2024-05-17,0,353,4.73,114,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,1.0,,,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
52,Copenhagen,2024-05-17,0,553,4.87,95,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
53,Copenhagen,2024-05-17,0,363,3.71,7,,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
54,Copenhagen,2024-05-17,0,736,4.92,120,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
55,Copenhagen,2024-05-17,0,647,4.88,33,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,1.0,,,,,6.8,9.0,5.25,8.25,5.0,1.25
56,Copenhagen,2024-05-17,0,588,4.70,30,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
57,Copenhagen,2024-05-17,0,571,4.70,54,,2.0,,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,6.8,9.0,5.25,8.25,5.0,1.25
58,Copenhagen,2024-05-17,0,248,4.56,831,,2.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,6.8,9.0,5.25,8.25,5.0,1.25
59,Copenhagen,2024-05-17,0,583,4.69,122,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,1.0,1.0,,,6.8,9.0,5.25,8.25,5.0,1.25
60,Copenhagen,2024-05-17,0,706,4.90,30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
61,Copenhagen,2024-05-17,0,812,4.50,32,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,,,,1.0,1.0,,,,1.0,,,,,6.8,9.0,5.25,8.25,5.0,1.25
62,Copenhagen,2024-05-17,0,824,4.75,4,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
63,Copenhagen,2024-05-17,0,588,4.85,27,,1.0,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,6.8,9.0,5.25,8.25,5.0,1.25
64,Copenhagen,2024-05-17,0,794,4.86,80,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
65,Copenhagen,2024-05-17,0,677,5.0,18,,1.0,1.0,,1.0,,1.0,,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
66,Copenhagen,2024-05-17,0,618,4.74,43,2.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,1.0,1.0,,1.0,,6.8,9.0,5.25,8.25,5.0,1.25
67,Copenhagen,2024-05-17,0,649,4.65,283,,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,,,,,6.8,9.0,5.25,8.25,5.0,1.25
68,Copenhagen,2024-05-17,0,571,3.80,5,2.0,2.0,1.0,,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
69,Copenhagen,2024-05-17,0,718,4.79,110,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,1.0,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
70,Copenhagen,2024-05-17,0,353,4.75,8,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,,,,,1.0,1.0,,,,,6.8,9.0,5.25,8.25,5.0,1.25
71,Copenhagen,2024-05-17,0,447,4.50,26,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
72,Copenhagen,2024-05-17,0,530,4.75,331,,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
73,Copenhagen,2024-05-17,0,588,4.93,56,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
74,Copenhagen,2024-05-17,0,633,4.72,68,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,1.0,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
75,Copenhagen,2024-05-17,0,583,4.81,47,,2.0,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
76,Copenhagen,2024-05-17,0,588,5.0,3,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
77,Copenhagen,2024-05-17,0,647,5.0,11,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
78,Copenhagen,2024-05-17,0,378,4.0,7,1.0,1.0,,,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
79,Copenhagen,2024-05-17,0,662,5.0,7,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
80,Copenhagen,2024-05-17,0,618,4.86,7,,2.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
81,Copenhagen,2024-05-17,0,765,4.91,170,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
82,Copenhagen,2024-05-17,0,700,4.28,25,4.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
83,Copenhagen,2024-05-17,0,536,4.86,7,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
84,Copenhagen,2024-05-17,0,798,,,2.0,1.0,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
85,Copenhagen,2024-05-17,0,530,4.72,79,4.0,3.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
86,Copenhagen,2024-05-17,0,824,4.94,18,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
87,Copenhagen,2024-05-17,0,824,,,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
88,Copenhagen,2024-05-17,0,677,4.52,169,,3.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
89,Copenhagen,2024-05-17,0,381,,,1.0,8.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
90,Copenhagen,2024-05-17,0,647,4.92,165,,1.0,,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
91,Copenhagen,2024-05-17,0,647,3.83,41,2.0,2.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,,,,,1.0,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
92,Copenhagen,2024-05-17,0,700,4.81,84,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,1.0,1.0,,,6.8,9.0,5.25,8.25,5.0,1.25
93,Copenhagen,2024-05-17,0,659,4.57,14,2.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
94,Copenhagen,2024-05-17,0,671,4.83,46,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,6.8,9.0,5.25,8.25,5.0,1.25
95,Copenhagen,2024-05-17,0,588,4.91,34,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
96,Copenhagen,2024-05-17,0,618,4.94,18,,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
97,Copenhagen,2024-05-17,0,647,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,6.8,9.0,5.25,8.25,5.0,1.25
98,Copenhagen,2024-05-17,0,574,,,,8.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
99,Copenhagen,2024-05-17,0,471,4.79,189,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
100,Copenhagen,2024-05-17,0,706,4.82,61,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
101,Copenhagen,2024-05-17,0,747,4.63,8,4.0,3.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
102,Copenhagen,2024-05-17,0,624,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
103,Copenhagen,2024-05-17,0,788,4.82,261,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
104,Copenhagen,2024-05-17,0,530,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,1.0,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
105,Copenhagen,2024-05-17,0,559,4.91,67,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,,6.8,9.0,5.25,8.25,5.0,1.25
106,Copenhagen,2024-05-17,0,600,4.62,113,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,1.0,,,,,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
107,Copenhagen,2024-05-17,0,765,4.59,29,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,,,,,1.0,,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
108,Copenhagen,2024-05-17,0,800,4.86,72,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,,,1.0,,,,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
109,Copenhagen,2024-05-17,0,659,4.70,123,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,6.8,9.0,5.25,8.25,5.0,1.25
